x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-25,3025,0,1.0265651,0.12640697,0.000142094,0.000440102,0.000240111,0.000475786
25,3025,0,1.0265653,0.126407,-0.00014208,-0.000440138,-0.000240079,-0.000475812
75,3025,0,1.0275898,0.12580195,-0.000434755,-0.001318552,-0.000702334,-0.001423414
125,3025,0,1.0296148,0.12462644,-0.000752708,-0.002190113,-0.001115661,-0.002356008
175,3025,0,1.0325913,0.12293646,-0.001112448,-0.003046849,-0.001464692,-0.003256612
225,3025,0,1.0364506,0.12078276,-0.001529428,-0.003876399,-0.001755761,-0.004100911
275,3025,0,1.0411046,0.11818608,-0.002017431,-0.004662387,-0.002018758,-0.004861397
325,3025,0,1.0464495,0.11511464,-0.002587017,-0.005384414,-0.00230398,-0.005513544
375,3025,0,1.05237,0.11147499,-0.003245392,-0.006019788,-0.002673254,-0.00604202
425,3025,0,1.0587357,0.1071213,-0.003994992,-0.006544726,-0.003187741,-0.006444565
475,3025,0,1.0654083,0.10187608,-0.00483374,-0.006935039,-0.003894256,-0.006730436
